from_city,to_city,operator,travel_time_min,frequency_per_day,night_train,iso_code,capacity_seats,avg_pass_per_train_km_eurostat,load_factor_implied,distance_km,rail_demand_proxy,fallback_used
Genoa,Nice,Italy,61,133.0,False,IT,400,160.06,0.4001,155.2,3303800.8,False
Genoa,Rome,Italy,225,153.0,False,IT,400,160.06,0.4001,402.2,9849268.8,False
Genoa,Turin,Italy,32,265.0,False,IT,400,160.06,0.4001,123.9,5255181.0,False
Granada,Barcelona,Spain,388,1.0,False,ES,330,200.06,0.6062,681.2,136279.4,False
Granada,Madrid,Spain,202,14.0,False,ES,330,200.06,0.6062,359.1,1005770.9,False
Granada,Malaga,Spain,84,3.0,False,ES,330,200.06,0.6062,89.1,53475.5,False
Granada,Seville,Spain,160,5.0,False,ES,330,200.06,0.6062,210.5,210560.9,False
Hamburg,Berlin,Germany,92,46.1,False,DE,490,120.59,0.2461,255.4,1419856.6,False
Hamburg,Bremen,Germany,32,113.7,True,DE,490,120.59,0.2461,94.8,1299844.7,False
Hamburg,Essen,Germany,169,2.0,False,DE,490,120.59,0.2461,308.0,74285.4,False
Hamburg,Hannover,Germany,72,116.9,True,DE,490,120.59,0.2461,132.4,1866487.9,False
Hamburg,Munich,Austria,535,2.3,True,AT,350,107.15,0.3061,612.1,150842.6,False
Hamburg,Nuremberg,Austria,393,32.9,True,AT,350,107.15,0.3061,461.6,1627179.2,False
Hamburg,Utrecht,Netherlands,270,1.2,False,NL(fallback=EU_median),290,93.32,0.3218,365.2,40897.6,True
Hamburg,Zurich,Switzerland,736,0.3,True,CH,400,106.06,0.2651,695.1,22116.6,False
Hannover,Berlin,Germany,76,125.2,True,DE,490,120.59,0.2461,249.8,3771546.2,False
Hannover,Bremen,Germany,39,78.3,True,DE,490,120.59,0.2461,100.2,946132.9,False
Hannover,Dortmund,Germany,78,69.0,True,DE,490,120.59,0.2461,182.2,1516073.1,False
Hannover,Frankfurt,Germany,128,87.4,True,DE,490,120.59,0.2461,261.2,2753006.8,False
Hannover,Hamburg,Germany,67,117.9,True,DE,490,120.59,0.2461,132.4,1882454.4,False
Hannover,Leipzig,Germany,138,31.9,False,DE,490,120.59,0.2461,214.4,824780.0,False
Hannover,Munich,Germany,266,2.7,True,DE,490,120.59,0.2461,488.5,159056.3,False
Hannover,Nuremberg,Germany,172,51.0,True,DE,490,120.59,0.2461,337.7,2076939.8,False
Hannover,Strasbourg,Germany,364,0.1,True,DE,490,120.59,0.2461,443.9,5353.1,False
Hannover,Utrecht,Netherlands,242,0.5,False,NL(fallback=EU_median),290,93.32,0.3218,315.5,14721.6,True
Hannover,Zurich,Switzerland,600,0.1,False,CH,400,106.06,0.2651,562.8,5969.0,False
Leipzig,Berlin,Germany,67,66.9,True,DE,490,120.59,0.2461,149.8,1208538.8,False
Leipzig,Dortmund,Germany,271,2.0,False,DE,490,120.59,0.2461,340.6,82148.1,False
Leipzig,Dresden,Germany,43,81.9,True,DE,490,120.59,0.2461,100.5,992596.3,False
Leipzig,Frankfurt,Germany,180,59.7,True,DE,490,120.59,0.2461,293.0,2109427.6,False
Leipzig,Hannover,Germany,141,31.4,False,DE,490,120.59,0.2461,214.4,811852.4,False
Leipzig,Munich,Germany,245,0.1,False,DE,490,120.59,0.2461,360.6,4348.6,False
Leipzig,Nuremberg,Germany,110,31.9,True,DE,490,120.59,0.2461,228.8,880175.7,False
Leipzig,Strasbourg,Germany,444,2.1,True,DE,490,120.59,0.2461,450.8,114163.1,False
Leipzig,Zurich,Switzerland,705,0.3,True,CH,400,106.06,0.2651,521.2,16583.5,False
Liege,Antwerp,Belgium,55,0.0,False,BE(fallback=EU_median),350,93.32,0.2666,104.6,0.0,True
Liege,Brussels,Germany,23,27.0,False,DE,490,120.59,0.2461,89.1,290111.0,False
Liege,Cologne,Germany,44,27.0,True,DE,490,120.59,0.2461,102.7,334392.8,False
Liege,Dusseldorf,Germany,74,0.1,False,DE,490,120.59,0.2461,107.3,1294.0,False
Liege,Lille,Belgium,132,0.0,False,BE(fallback=EU_median),350,93.32,0.2666,177.2,0.0,True
Liege,Utrecht,Netherlands,109,34.1,False,NL(fallback=EU_median),290,93.32,0.3218,164.9,524760.2,True
Lille,Antwerp,Belgium,55,0.0,False,BE(fallback=EU_median),350,93.32,0.2666,114.6,0.0,True
Lille,Brussels,France,26,21.8,False,FR,450,276.35,0.6141,94.2,567503.0,False
Lille,Liege,Belgium,133,0.0,False,BE(fallback=EU_median),350,93.32,0.2666,177.2,0.0,True
Lille,London,Netherlands,86,12.9,False,NL(fallback=EU_median),290,93.32,0.3218,242.6,292056.2,True
Lille,Paris,France,49,145.60000000000002,False,FR,450,276.35,0.6141,204.4,8224378.1,False
Lisbon,Porto,Portugal,151,17.6,False,PT,250,179.53,0.7181,273.4,863879.1,False
London,Brussels,Netherlands,109,3.4,False,NL(fallback=EU_median),290,93.32,0.3218,320.3,101630.0,True
London,Lille,Netherlands,80,10.8,False,NL(fallback=EU_median),290,93.32,0.3218,242.6,244512.1,True
London,Paris,Eurostar,137,16.6,False,EU_avg(fallback=EU_median),400,93.32,0.2333,343.8,532598.4,True
