scenario,p_disrupt,city,avg_stranded,avg_index
B,0.9,Brussels,2.8333333333333335,0.008833333333333334
B,0.9,London,6.857142857142857,0.010428571428571428
B,0.9,Berlin,2.2857142857142856,0.006
B,0.9,Rome,3.2857142857142856,0.009571428571428573
B,0.9,Seville,1.6666666666666667,0.012666666666666666
C,0.9,Strasbourg,2.7142857142857144,0.01542857142857143
C,0.9,Granada,11.0,0.24666666666666667
C,0.9,Cologne,1.1428571428571428,0.004571428571428572
C,0.9,Bilbao,5.0,0.17733333333333334
C,0.9,Vienna,5.0,0.018777777777777775
C,0.9,Geneva,3.2222222222222223,0.01911111111111111
C,0.9,Frankfurt,6.2,0.0126
C,0.9,Paris,9.3,0.0125
C,0.9,Stuttgart,1.5555555555555556,0.012555555555555558
C,0.9,Murcia,11.625,0.335375
C,0.9,Venice,3.0,0.020833333333333332
C,0.9,Lyon,1.0,0.007666666666666666
C,0.9,Toulouse,3.0,0.02442857142857143
C,0.9,Amsterdam,7.0,0.015200000000000002
C,0.9,Hamburg,3.5555555555555554,0.013222222222222222
C,0.9,Munich,4.888888888888889,0.01111111111111111
C,0.9,Lisbon,63.9,0.2414
C,0.9,Madrid,17.1,0.03300000000000001
C,0.9,Barcelona,13.0,0.028900000000000002
C,0.9,Palma,4.1,0.0194
C,0.9,Zurich,3.4,0.011600000000000003
C,0.9,Valencia,10.714285714285714,0.16528571428571429
C,0.9,Milan,6.1,0.013500000000000002
C,0.9,Marseille,1.75,0.01275
C,0.9,Porto,34.6,0.2768
C,0.9,Palermo,2.0,0.047
C,0.9,Turin,4.0,0.038
C,0.9,Brussels,3.0,0.00975
C,0.9,London,16.1,0.0233
C,0.9,Berlin,5.625,0.014624999999999999
C,0.9,Rome,6.3,0.0177
C,0.9,Seville,4.666666666666667,0.03855555555555555
A,1.0,Strasbourg,6.0,0.03311111111111111
A,1.0,Duisburg,43.4,0.3116
A,1.0,Geneva,9.8,0.05450000000000001
A,1.0,Frankfurt,38.5,0.07469999999999999
A,1.0,Paris,59.5,0.0809
A,1.0,Venice,7.2,0.0511
A,1.0,Antwerp,19.5,0.3526000000000001
A,1.0,Hamburg,87.8,0.32589999999999997
A,1.0,Bremen,36.4,0.34509999999999996
A,1.0,Nuremberg,14.4,0.0893
A,1.0,Rotterdam,48.2,0.3478
A,1.0,Palermo,2.875,0.066
A,1.0,London,228.0,0.33080000000000004
A,1.0,Liege,14.4,0.2643
A,1.0,Rome,21.5,0.0613
A,1.0,Seville,3.6,0.029099999999999997
A,1.0,Utrecht,43.7,0.3271
A,1.0,Hannover,28.7,0.16299999999999998
A,1.0,Cologne,48.2,0.1857
A,1.0,Vienna,20.0,0.0768
A,1.0,Leipzig,3.4,0.026600000000000002
A,1.0,Dortmund,60.6,0.32939999999999997
A,1.0,Lille,23.8,0.34540000000000004
A,1.0,Naples,1.0,0.016
A,1.0,Dusseldorf,47.0,0.32039999999999996
A,1.0,Stuttgart,4.9,0.0393
A,1.0,Lyon,2.3333333333333335,0.017444444444444443
A,1.0,Toulouse,5.9,0.049
A,1.0,Amsterdam,147.7,0.3237
A,1.0,Munich,31.9,0.0732
A,1.0,Essen,56.6,0.3495
A,1.0,Lisbon,18.9,0.0707
A,1.0,The Hague,24.8,0.3085
A,1.0,Madrid,30.4,0.0588
A,1.0,Barcelona,27.3,0.0596
A,1.0,Palma,15.1,0.0742
A,1.0,Zurich,20.8,0.07040000000000002
A,1.0,Milan,26.5,0.0563
A,1.0,Marseille,4.1,0.03150000000000001
A,1.0,Porto,7.7,0.0611
A,1.0,Turin,3.8,0.0354
A,1.0,Brussels,100.9,0.32989999999999997
A,1.0,Berlin,38.5,0.10200000000000001
B,1.0,Strasbourg,4.3,0.024800000000000003
B,1.0,Hannover,2.111111111111111,0.012
B,1.0,Cologne,2.8,0.0109
B,1.0,Vienna,6.2,0.023200000000000002
B,1.0,Leipzig,3.142857142857143,0.02428571428571429
B,1.0,Geneva,5.5,0.030699999999999998
B,1.0,Frankfurt,8.5,0.0171
B,1.0,Paris,9.4,0.0129
B,1.0,Stuttgart,1.2,0.01
B,1.0,Venice,2.111111111111111,0.014888888888888889
B,1.0,Amsterdam,4.888888888888889,0.010777777777777777
B,1.0,Hamburg,3.7,0.0132
B,1.0,Munich,5.7,0.0131
B,1.0,Lisbon,3.25,0.012624999999999999
B,1.0,Madrid,5.0,0.009600000000000001
B,1.0,Bremen,1.0,0.009
B,1.0,Palma,2.4444444444444446,0.011888888888888888
B,1.0,Barcelona,4.5,0.009899999999999999
B,1.0,Zurich,95.9,0.32639999999999997
B,1.0,Rotterdam,1.0,0.008
B,1.0,Milan,8.3,0.017800000000000003
B,1.0,Marseille,1.4,0.010199999999999999
B,1.0,Porto,1.625,0.01225
B,1.0,Palermo,1.3333333333333333,0.03233333333333333
B,1.0,Brussels,2.2,0.007000000000000001
B,1.0,London,9.222222222222221,0.013333333333333334
B,1.0,Berlin,2.4,0.0063
B,1.0,Rome,3.4,0.0096
B,1.0,Seville,1.5,0.012499999999999999
C,1.0,Strasbourg,3.0,0.0164
C,1.0,Granada,14.4,0.3258
C,1.0,Cologne,2.1,0.008300000000000002
C,1.0,Bilbao,10.0,0.33259999999999995
C,1.0,Vienna,11.8,0.04429999999999999
C,1.0,Geneva,7.9,0.0442
C,1.0,Frankfurt,12.9,0.0256
C,1.0,Paris,21.1,0.028600000000000004
C,1.0,Stuttgart,2.0,0.016900000000000005
C,1.0,Murcia,9.9,0.29710000000000003
C,1.0,Venice,5.0,0.0371
C,1.0,Lyon,1.75,0.013375000000000001
C,1.0,Toulouse,4.3,0.0354
C,1.0,Amsterdam,19.0,0.0414
C,1.0,Hamburg,6.3,0.023299999999999998
C,1.0,Munich,11.3,0.0262
C,1.0,Lisbon,86.7,0.32189999999999996
C,1.0,Madrid,169.7,0.3285
